time,axis,target,baseline,damped,baseline_v,damped_v
2.2,1,-0.366554,-0.365182,-0.365238,-0.0310756,-0.0157103
2.25,0,1.23132,1.22372,1.22157,0.0706855,0.0138653
2.25,1,-0.366554,-0.366743,-0.365945,-0.0309447,-0.0126665
2.3,0,1.23306,1.22726,1.22229,0.0705546,0.0149308
2.3,1,-0.365695,-0.368225,-0.366499,-0.0281958,-0.00957837
2.35,0,1.23265,1.23073,1.22305,0.0678056,0.015433
2.35,1,-0.366687,-0.369498,-0.366918,-0.0228289,-0.00741121
2.4,0,1.23333,1.23398,1.22383,0.0624387,0.0156168
2.4,1,-0.366142,-0.370431,-0.367248,-0.014844,-0.00573277
2.45,0,1.24015,1.23689,1.22461,0.0545062,0.0157745
2.45,1,-0.363017,-0.37095,-0.367493,-0.00712095,-0.00409663
2.5,0,1.24015,1.23941,1.22544,0.0467831,0.0175083
2.5,1,-0.363017,-0.371155,-0.367631,-0.00201586,-0.00125497
2.55,0,1.24408,1.24152,1.22641,0.0391123,0.0218388
2.55,1,-0.36208,-0.371174,-0.367618,0.000785399,0.00175686
2.6,0,1.23932,1.24329,1.22762,0.031651,0.0261751
2.6,1,-0.3614,-0.371026,-0.367466,0.00510509,0.00432006
2.65,0,1.22488,1.2446,1.22898,0.0216241,0.0280542
2.65,1,-0.36473,-0.370591,-0.367194,0.0119904,0.00641758
2.7,0,1.22488,1.24542,1.23038,0.0123301,0.0273152
2.7,1,-0.36473,-0.369812,-0.366857,0.0181427,0.00661931
2.75,0,1.22398,1.24584,1.23167,0.00565423,0.0239582
2.75,1,-0.362682,-0.368766,-0.366538,0.0234049,0.00648071
2.8,0,1.22173,1.246,1.23273,0.00159632,0.0179832
2.8,1,-0.364431,-0.367474,-0.366208,0.0274628,0.00645652
2.85,0,1.21648,1.24601,1.23343,-0.000681364,0.00939028
2.85,1,-0.362967,-0.36605,-0.365909,0.028955,0.00554589
2.9,0,1.21648,1.24588,1.23363,-0.00447748,-0.0016636
2.9,1,-0.362967,-0.364574,-0.365632,0.0297142,0.00558599
2.95,0,1.2175,1.24549,1.23328,-0.0108916,-0.0115656
2.95,1,-0.367055,-0.363124,-0.365364,0.0280125,0.00469267
3,0,1.2153,1.24471,1.23251,-0.0199237,-0.0188623
3,1,-0.366897,-0.361831,-0.365191,0.0236929,0.00235757
3.05,0,1.21675,1.24341,1.23143,-0.0315214,-0.0241034
3.05,1,-0.367847,-0.360827,-0.365119,0.0167552,0.000553438
3.1,0,1.21675,1.24152,1.23014,-0.0423861,-0.0270772
3.1,1,-0.367847,-0.360219,-0.36514,0.00866556,-0.00132839
3.15,0,1.21494,1.23914,1.22874,-0.0519942,-0.0289296
3.15,1,-0.368669,-0.359951,-0.365251,0.00303687,-0.00311962
3.2,0,1.21524,1.23632,1.22726,-0.0597173,-0.0299259
3.2,1,-0.369956,-0.359893,-0.365449,2.618e-05,-0.00487608
3.25,0,1.21519,1.23318,1.22577,-0.0648224,-0.0298265
3.25,1,-0.371535,-0.359957,-0.365737,-0.00272271,-0.00664931
3.3,0,1.21519,1.22986,1.22429,-0.0673096,-0.0290692
3.3,1,-0.371535,-0.360229,-0.366123,-0.0080896,-0.00868209
3.35,0,1.21395,1.22646,1.22286,-0.0684353,-0.0284768
3.35,1,-0.372414,-0.360843,-0.366603,-0.0160745,-0.0104559
3.4,0,1.21141,1.22304,1.22144,-0.0683044,-0.0282262
3.4,1,-0.373113,-0.361905,-0.367162,-0.0253684,-0.0118685
3.45,0,1.21229,1.21965,1.22003,-0.0671264,-0.0282718
3.45,1,-0.371856,-0.363382,-0.367782,-0.0325679,-0.0128181
3.5,0,1.21229,1.21639,1.21864,-0.0633303,-0.0270412
3.5,1,-0.371856,-0.365148,-0.368416,-0.0371493,-0.0124645
3.55,0,1.21126,1.21337,1.21732,-0.0573875,-0.0259277
3.55,1,-0.369845,-0.36707,-0.36901,-0.0391128,-0.0109964
3.6,0,1.21057,1.21073,1.21605,-0.048879,-0.0247591
3.6,1,-0.369273,-0.369018,-0.369512,-0.0384583,-0.00901123
3.65,0,1.21097,1.20858,1.21485,-0.0377526,-0.0234515
3.65,1,-0.368789,-0.370862,-0.369913,-0.0351859,-0.0070457
3.7,0,1.21097,1.20704,1.21372,-0.0252909,-0.0215986
3.7,1,-0.368789,-0.37247,-0.370216,-0.0292954,-0.00515122
3.75,0,1.20709,1.20607,1.21267,-0.0148975,-0.0209852
3.75,1,-0.367706,-0.373712,-0.370422,-0.0207869,-0.0030275
3.8,0,1.20386,1.20555,1.2116,-0.00691267,-0.0219835
3.8,1,-0.370441,-0.374487,-0.370531,-0.0115454,-0.00168051
3.85,0,1.20449,1.20537,1.21046,-0.0015458,-0.0235178
3.85,1,-0.368941,-0.37487,-0.37062,-0.00486947,-0.00183415
3.9,0,1.20449,1.20538,1.20928,0.00120307,-0.0235802
3.9,1,-0.368941,-0.374991,-0.370692,-0.000811578,-0.00102175
3.95,0,1.20462,1.20545,1.20811,0.00133394,-0.0228232
3.95,1,-0.367773,-0.374967,-0.370712,0.00172788,0.000285054
4,0,1.20404,1.20547,1.207,-0.00010598,-0.021874
4,1,-0.365535,-0.374758,-0.370661,0.00657117,0.00201585
4.05,0,1.2033,1.20541,1.20593,-0.0025931,-0.0208909
4.05,1,-0.365971,-0.374235,-0.370506,0.0140325,0.00404167
4.1,0,1.2033,1.20515,1.20491,-0.00738406,-0.0199124
4.1,1,-0.365971,-0.373325,-0.370271,0.0212319,0.00528857
4.15,0,1.20613,1.20468,1.20396,-0.0106566,-0.0175115
4.15,1,-0.364415,-0.372083,-0.369964,0.0275937,0.00698333
4.2,0,1.20416,1.2041,1.20315,-0.0127772,-0.015107
4.2,1,-0.368063,-0.370581,-0.369588,0.0316516,0.00769354
4.25,0,1.20199,1.2034,1.20244,-0.0150025,-0.0138104
4.25,1,-0.369972,-0.368948,-0.369234,0.0330915,0.00614741
4.3,0,1.20199,1.20257,1.20175,-0.0175943,-0.0135238
4.3,1,-0.369972,-0.367315,-0.368987,0.0319134,0.00380925
4.35,0,1.21272,1.20168,1.20111,-0.0177253,-0.0117354
4.35,1,-0.370093,-0.365813,-0.368845,0.0281173,0.00196558
4.4,0,1.21701,1.20085,1.20062,-0.0152382,-0.00732909
4.4,1,-0.369811,-0.364573,-0.368782,0.0217032,0.000661128
4.45,0,1.22771,1.20021,1.20042,-0.0101331,-0.000304753
4.45,1,-0.373076,-0.363723,-0.368774,0.0129853,-0.000432224
4.5,0,1.22771,1.19988,1.20064,-0.00408558,0.00933758
4.5,1,-0.373076,-0.363282,-0.368856,0.00578577,-0.00292168
4.55,0,1.23318,1.19979,1.2014,-0.000289514,0.0215544
4.55,1,-0.373474,-0.36313,-0.36906,0.00120428,-0.00512257
4.6,0,1.23955,1.19985,1.2028,0.00277351,0.0346114
4.6,1,-0.37272,-0.363144,-0.369353,-0.00154462,-0.00636974
4.65,0,1.24099,1.20013,1.20485,0.00840218,0.0466869
4.65,1,-0.370771,-0.363343,-0.369687,-0.00638791,-0.00675949
4.7,0,1.24099,1.20077,1.20743,0.0166488,0.0561627
4.7,1,-0.370771,-0.363856,-0.370003,-0.0136921,-0.00587955
4.75,0,1.24106,1.20189,1.21042,0.0275135,0.0630205
4.75,1,-0.37117,-0.364747,-0.370281,-0.0208392,-0.00528383
4.8,0,1.24257,1.20362,1.21369,0.0404464,0.0672602
4.8,1,-0.371434,-0.365925,-0.370533,-0.0254207,-0.00481812
4.85,0,1.2463,1.206,1.2171,0.0534316,0.0690842
4.85,1,-0.36952,-0.367261,-0.370762,-0.0273842,-0.00415115
4.9,0,1.24834,1.20902,1.22057,0.0656314,0.0695535
4.9,1,-0.368349,-0.368623,-0.370929,-0.0267297,-0.00254222
4.95,0,1.24834,1.2126,1.22405,0.0762343,0.0693682
4.95,1,-0.368349,-0.369881,-0.371005,-0.0234572,-0.00058914
5,0,1.25373,1.21667,1.22751,0.0857899,0.0694942
5,1,-0.368715,-0.370902,-0.370999,-0.0175667,0.000737924
5.05,0,1.25622,1.2212,1.23101,0.0944031,0.0703559
5.05,1,-0.36832,-0.371563,-0.370936,-0.00958186,0.00180896
5.1,0,1.25046,1.22612,1.23453,0.101341,0.0703076
5.1,1,-0.369807,-0.371862,-0.370822,-0.00342957,0.00263808
5.15,0,1.25046,1.23132,1.238,0.10566,0.0680628
5.15,1,-0.369807,-0.371925,-0.370696,0.00010472,0.00233926
5.2,0,1.24304,1.23666,1.24129,0.107362,0.0631999
5.2,1,-0.371247,-0.371832,-0.370595,0.00337721,0.00148121
5.25,0,1.2362,1.24201,1.24428,0.106446,0.055719
5.25,1,-0.368953,-0.371607,-0.370548,0.00534071,0.000642213
5.3,0,1.2294,1.24725,1.24682,0.102911,0.0456201
5.3,1,-0.370543,-0.371247,-0.370502,0.00908444,0.00119336
5.35,0,1.2294,1.25223,1.2488,0.0967592,0.0330682
5.35,1,-0.370543,-0.370699,-0.370452,0.0120951,0.000736474
5.4,0,1.21891,1.25684,1.25012,0.0879889,0.0199782
5.4,1,-0.370904,-0.370073,-0.37043,0.0124878,0.000130428
5.45,0,1.21342,1.26094,1.25079,0.0766005,0.0068883
5.45,1,-0.369757,-0.369495,-0.370433,0.0105243,-6.3052e-05
5.5,0,1.21249,1.26441,1.25081,0.0635368,-0.00620165
5.5,1,-0.370572,-0.369076,-0.370429,0.00620465,0.00016288
5.55,0,1.21249,1.26723,1.25017,0.0504468,-0.0192916
5.55,1,-0.370572,-0.368903,-0.370428,0.00162316,-0.000112704
5.6,0,1.21565,1.26939,1.2489,0.0373569,-0.0314391
5.6,1,-0.370351,-0.368889,-0.370437,-0.000654499,-0.000211483
5.65,0,1.21989,1.2709,1.24707,0.0248167,-0.0409947
5.65,1,-0.367376,-0.369006,-0.370445,-0.00366519,0.000130152
5.7,0,1.22787,1.27186,1.24484,0.0147374,-0.0479324
5.7,1,-0.3649,-0.369226,-0.370395,-0.00458149,0.00192773
5.75,0,1.22787,1.27238,1.24232,0.00727619,-0.0522521
5.75,1,-0.3649,-0.369419,-0.37023,-0.00287979,0.0046262
5.8,0,1.23027,1.2726,1.23966,0.00243292,-0.0539537
5.8,1,-0.364455,-0.369477,-0.369941,-2.61799e-05,0.00684366
5.85,0,1.23103,1.27265,1.23697,0.00020765,-0.0530374
5.85,1,-0.362707,-0.369413,-0.369549,0.00272271,0.00896648
5.9,0,1.23637,1.27262,1.2344,-0.00133694,-0.0495031
5.9,1,-0.359901,-0.36914,-0.369048,0.0080896,0.0111494
5.95,0,1.23637,1.27246,1.23207,-0.00539481,-0.0433508
5.95,1,-0.359901,-0.368527,-0.368415,0.0160221,0.0140215
6,0,1.23903,1.27201,1.23011,-0.0120707,-0.0345805
6,1,-0.358282,-0.367479,-0.367647,0.0250542,0.016686
6.05,0,1.24197,1.27117,1.22865,-0.0213645,-0.0231922
6.05,1,-0.353098,-0.366009,-0.366756,0.0330391,0.0191327
6.1,0,1.24368,1.26978,1.22782,-0.0331193,-0.0101696
6.1,1,-0.351314,-0.364121,-0.3657,0.0413905,0.0231428
6.15,0,1.24368,1.26782,1.22761,-0.0437222,0.00132077
6.15,1,-0.351314,-0.361843,-0.36445,0.04859,0.0266663
6.2,0,1.24014,1.26537,1.22791,-0.0535396,0.0101932
6.2,1,-0.348505,-0.359242,-0.363033,0.0547423,0.0300321
6.25,0,1.24147,1.26246,1.22858,-0.0615245,0.0164476
6.25,1,-0.347441,-0.356383,-0.361464,0.0588002,0.0326052
6.3,0,1.24004,1.25922,1.22951,-0.0671531,0.020084
6.3,1,-0.347578,-0.353392,-0.35979,0.0602401,0.0341001
6.35,0,1.24004,1.25575,1.23055,-0.0709492,0.0211209
6.35,1,-0.347578,-0.350402,-0.358079,0.059062,0.0342464
6.4,0,1.23803,1.25212,1.23158,-0.0739075,0.0198647
6.4,1,-0.347402,-0.347542,-0.356383,0.0552659,0.0335143
6.45,0,1.23537,1.24838,1.23252,-0.0755045,0.017571
6.45,1,-0.346673,-0.344945,-0.354732,0.0488518,0.0324789
6.5,0,1.23008,1.24459,1.23332,-0.0759495,0.0140937
6.5,1,-0.349608,-0.34274,-0.35314,0.0398197,0.0310853
6.55,0,1.23008,1.24076,1.2339,-0.0768134,0.0087996
6.55,1,-0.349608,-0.341058,-0.35166,0.028222,0.0278753
6.6,0,1.21752,1.23689,1.23417,-0.0782533,0.00158344
6.6,1,-0.353197,-0.339956,-0.350378,0.0173573,0.023018
6.65,0,1.21487,1.2329,1.23401,-0.081264,-0.00825071
6.65,1,-0.354746,-0.339326,-0.349367,0.00911062,0.0173389
6.7,0,1.21119,1.22878,1.23333,-0.0834892,-0.0189265
6.7,1,-0.356779,-0.339036,-0.348634,0.00348193,0.0119071
6.75,0,1.21119,1.22454,1.23214,-0.0851909,-0.0281795
6.75,1,-0.356779,-0.338956,-0.348177,0.000471239,0.00654989
6.8,0,1.21175,1.2203,1.23056,-0.0842746,-0.0348145
6.8,1,-0.36049,-0.338963,-0.347993,-0.000706859,0.000624369
6.85,0,1.2082,1.21615,1.22869,-0.0818922,-0.0396964
6.85,1,-0.361092,-0.339077,-0.3481,-0.00397935,-0.00470723
6.9,0,1.20888,1.21216,1.22661,-0.0778343,-0.0431568
6.9,1,-0.359894,-0.339428,-0.348443,-0.00986984,-0.00874145
6.95,0,1.20888,1.20844,1.22442,-0.0711583,-0.0443599
6.95,1,-0.359894,-0.340144,-0.34894,-0.0183783,-0.0109793
7,0,1.21281,1.20513,1.22221,-0.0618644,-0.0434211
7,1,-0.363918,-0.341358,-0.34956,-0.0295048,-0.0141278
7.05,0,1.22087,1.20235,1.22012,-0.0499525,-0.0398642
7.05,1,-0.365531,-0.34316,-0.350354,-0.041312,-0.0176481
7.1,0,1.22552,1.20021,1.21827,-0.0368626,-0.0336893
7.1,1,-0.365932,-0.345506,-0.35131,-0.0511294,-0.0203987
7.15,0,1.2269,1.19872,1.21679,-0.0243224,-0.0248965
7.15,1,-0.363798,-0.348272,-0.352379,-0.0583289,-0.0222224
7.2,0,1.2269,1.19779,1.2158,-0.0142432,-0.0148314
7.2,1,-0.363798,-0.351325,-0.353498,-0.0629104,-0.0221993
